respondent_id,Timestamp,gender,age_group,city,primary_app,shopping_frequency,uses_wishlist,wishlist_item_count,why_wishlist,intend_to_buy_eventually,percentage_purchased,how_often_checks_wishlist,why_remove_without_buying,what_stops_purchase,purchase_triggers,gets_notifications,desired_non_discount_features,suggestions_or_experience
R11,8/27/2026 23:55:48,Female,18-25,Kolkata,Nykaa Fashion,Few times a year,"Yes, regularly",6-15,"Comparing with Other Options, Waiting for Price Drop, Saving for Future Occasion",Mostly,75%,"Often, I browse it regularly","Found it cheaper elsewhere, No longer wanted/needed it, Wishlist got too cluttered, so I cleaned it up, Price never dropped, gave up waiting","Unsure of Quality / Reviews, Price hasn't dropped, I lost interest / no longer need it","Price Drop, Got reminded / Notified, Positive Reviews","Yes, I find them useful","Better Product Pictures, Reminders after a certain time (this has been sitting for 30 days), Alerts when price drops, Alerts when my size is back in stock",
R12,8/26/2026 1:42:51,Female,18-25,Chennai,Myntra,Few times a year,"Yes, regularly",1-5,"Comparing with Other Options, Waiting for Price Drop, Saving for Future Occasion, Waiting to Restock",Mostly,25%,"Often, I browse it regularly","Found it cheaper elsewhere, No longer wanted/needed it, Wishlist got too cluttered, so I cleaned it up, Price never dropped, gave up waiting","Unsure about Color / Styling, Price hasn't dropped, Item went out of stock / my size is unavailable, I lost interest / no longer need it, Too many items in my wishlist — I don't know where to start","Upcoming Event, Influencer recommendation, Positive Reviews","Yes, but I usually ignore them","Better Sizing Guide, Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, Alerts when price drops, Seeing how others styled/reviewed the item",
R13,8/26/2026 1:55:03,Male,18-25,Kolkata,Other,Rarely,"No, never",0,"Comparing with Other Options, Waiting for Price Drop, Unsure about Fit & Size, Saving for Future Occasion, Waiting to Restock",Sometimes,50%,"Rarely, I mostly forget it exists","Found it cheaper elsewhere, No longer wanted/needed it","Unsure of Quality / Reviews, Unsure about Fit & Size, Unsure about Color / Styling","Price Drop, Upcoming Event, Influencer recommendation, Positive Reviews","Yes, but I usually ignore them","Better Sizing Guide, Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, A smarter, decluttered wishlist (auto-sort by likelihood to buy, or by occasion), Reminders after a certain time (this has been sitting for 30 days), Alerts when price drops, Alerts when an item is about to sell out / low stock, Alerts when my size is back in stock, Seeing how others styled/reviewed the item","Add algorithmic recommendation system based on customer liking data. Let customers disclose body sizes and style preferences with AI fit feedback."
R14,8/27/2026 17:57:35,Female,Under 18,Kolkata,Savana,Few times a year,"Yes, regularly",30+,Waiting for Price Drop,Sometimes,25%,"Often, I browse it regularly","Found it cheaper elsewhere, No longer wanted/needed it","Unsure about Color / Styling, Price hasn't dropped, Item went out of stock / my size is unavailable, I lost interest / no longer need it","Price Drop, Upcoming Event","Yes, I find them useful","Better Sizing Guide, Alerts when price drops, Alerts when my size is back in stock",
R15,8/28/2026 16:52:32,Female,26-39,Delhi,Myntra,Few times a year,"Yes, regularly",30+,Saving for Future Occasion,Sometimes,10%,"Often, I browse it regularly",I never removed items from my wishlist,"Unsure of Quality / Reviews, Unsure about Fit & Size, I lost interest / no longer need it","Price Drop, Upcoming Event, Positive Reviews","Yes, but I usually ignore them",Better Product Pictures,
R16,8/27/2026 12:49:54,Female,18-25,Kolkata,Myntra,Monthly,"Yes, regularly",30+,"Comparing with Other Options, Waiting for Price Drop, Unsure about Fit & Size, Saving for Future Occasion, Waiting to Restock, Confused how to Style it",Always,25%,"Often, I browse it regularly","Found it cheaper elsewhere, No longer wanted/needed it, It went out of stock or my size unavailable, Wishlist got too cluttered, so I cleaned it up","Unsure about Fit & Size, Unsure about Color / Styling, Price hasn't dropped, Item went out of stock / my size is unavailable","Price Drop, Got reminded / Notified, Positive Reviews","Yes, but I usually ignore them","Better Sizing Guide, Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, A smarter, decluttered wishlist (auto-sort by likelihood to buy, or by occasion), Reminders after a certain time (this has been sitting for 30 days)","More information about the product would also help. Sometimes some products have very vague description. Color is often one reason plus the confusion while selecting similar options."
R17,8/26/2026 0:54:06,Male,18-25,Bengaluru,Myntra,Few times a year,"Yes, sometimes",1-5,"Comparing with Other Options, Waiting for Price Drop, Waiting to Restock",Mostly,10%,"Rarely, I mostly forget it exists","Found it cheaper elsewhere, No longer wanted/needed it, Price never dropped, gave up waiting","Unsure about Fit & Size, Price hasn't dropped, I forget the item is even in my wishlist, I lost interest / no longer need it","Price Drop, Upcoming Event, Positive Reviews","No, I don't think I get any","Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, Reminders after a certain time (this has been sitting for 30 days), Alerts when price drops","I mostly add when i like a product and i am unsure whether to purchase it or not and end up forgetting"
R18,8/29/2026 17:21:02,Female,26-39,Kolkata,Nykaa Fashion,Weekly,"Yes, sometimes",1-5,Waiting for Price Drop,Mostly,50%,Only when I get a notification,It went out of stock or my size unavailable,"I forget the item is even in my wishlist, Item went out of stock / my size is unavailable",Price Drop,"Yes, I find them useful",Easier way to compare 2–3 wishlisted items side-by-side,
R19,8/29/2026 19:16:39,Female,18-25,Kolkata,Myntra,Rarely,"Yes, sometimes",1-5,Unsure about Fit & Size,Mostly,25%,Only when I get a notification,No longer wanted/needed it,Unsure of Quality / Reviews,Positive Reviews,"Yes, but I usually ignore them",Seeing how others styled/reviewed the item,
R20,8/27/2026 17:00:43,Female,18-25,Other,Amazon,Few times a year,"Yes, sometimes",1-5,"Comparing with Other Options, Waiting for Price Drop, Unsure about Fit & Size, Saving for Future Occasion",Mostly,10%,I only see it when adding something new,"No longer wanted/needed it, It went out of stock or my size unavailable","Unsure of Quality / Reviews, Item went out of stock / my size is unavailable, I lost interest / no longer need it","Price Drop, Upcoming Event, Positive Reviews","No, I don't think I get any","Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, Alerts when price drops, Alerts when my size is back in stock, Seeing how others styled/reviewed the item",
R21,8/28/2026 15:16:19,Male,18-25,Hyderabad,Myntra,Monthly,"Yes, regularly",6-15,"Waiting for Price Drop, Unsure about Fit & Size",Mostly,25%,Only when I get a notification,Found it cheaper elsewhere,"Unsure of Quality / Reviews, Unsure about Color / Styling","Price Drop, Upcoming Event, Positive Reviews","Yes, but I usually ignore them","Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, Reminders after a certain time (this has been sitting for 30 days)",
R22,8/26/2026 16:26:21,Male,40 & above,Kolkata,"Amazon,Flipkart",Weekly,"Yes, sometimes",1-5,"Comparing with Other Options, Waiting to Restock",Mostly,50%,"Often, I browse it regularly",Found it cheaper elsewhere,Item went out of stock / my size is unavailable,Got reminded / Notified,"Yes, but I usually ignore them","Reminders after a certain time (this has been sitting for 30 days), Alerts when an item is about to sell out / low stock","Prefers brands like Louis Philippe, US Polo Assn"
R23,8/29/2026 20:48:50,Female,26-39,Bengaluru,Ajio,Few times a year,"Yes, regularly",6-15,"Comparing with Other Options, Waiting for Price Drop, Confused how to Style it",Sometimes,25%,I only see it when adding something new,"Found it cheaper elsewhere, No longer wanted/needed it, It went out of stock or my size unavailable, Wishlist got too cluttered, so I cleaned it up, Price never dropped, gave up waiting",got something more better than saved item,"Price Drop, Upcoming Event, Positive Reviews","Yes, but I usually ignore them","Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, Alerts when price drops, Seeing how others styled/reviewed the item",
R24,8/26/2026 7:05:18,Female,26-39,Kolkata,Myntra,Rarely,"Yes, regularly",1-5,Waiting for Price Drop,Mostly,25%,"Often, I browse it regularly",It went out of stock or my size unavailable,Item went out of stock / my size is unavailable,Upcoming Event,"Yes, but I usually ignore them",Alerts when price drops,
R25,8/26/2026 17:08:51,Male,18-25,Kolkata,Flipkart,Few times a year,I've used it once or twice,0,Saving for Future Occasion,Sometimes,75%,Only when I get a notification,I never removed items from my wishlist,Too many items in my wishlist — I don't know where to start,Positive Reviews,"No, I don't think I get any",Alerts when my size is back in stock,
R26,8/29/2026 14:32:27,Male,26-39,Delhi,Myntra,Rarely,"Yes, sometimes",1-5,"Unsure about Fit & Size, Confused how to Style it",Rarely,25%,I only see it when adding something new,No longer wanted/needed it,"Unsure of Quality / Reviews, Unsure about Fit & Size","Price Drop, Positive Reviews","No, I don't think I get any",Better Product Pictures,
R27,8/28/2026 15:07:54,Female,26-39,Bengaluru,Myntra,Few times a year,"Yes, regularly",30+,"Comparing with Other Options, Unsure about Fit & Size, Saving for Future Occasion, Confused how to Style it",Mostly,25%,"Often, I browse it regularly","I never removed items from my wishlist, very rarely when its out of stock","Unsure of Quality / Reviews, Unsure about Fit & Size, Unsure about Color / Styling, Item went out of stock / my size is unavailable","Influencer recommendation, Positive Reviews, How it looks on me","No, I don't think I get any","Better Sizing Guide, Easier way to compare 2–3 wishlisted items side-by-side, Alerts when price drops, Seeing how others styled/reviewed the item",
R28,8/29/2026 17:28:54,Female,18-25,Kolkata,Amazon,Weekly,"Yes, regularly",1-5,"Comparing with Other Options, Waiting for Price Drop",Sometimes,75%,Only when I get a notification,Found it cheaper elsewhere,"Price hasn't dropped, I forget the item is even in my wishlist, Item went out of stock / my size is unavailable, Too many items in my wishlist — I don't know where to start","Price Drop, Upcoming Event","Yes, I find them useful","Better Sizing Guide, Better Product Pictures",
R29,8/26/2026 10:15:49,Female,26-39,Kolkata,Amazon,Few times a year,"Yes, sometimes",30+,"Comparing with Other Options, Waiting for Price Drop, Unsure about Fit & Size, Saving for Future Occasion",Sometimes,10%,"Rarely, I mostly forget it exists","Found it cheaper elsewhere, No longer wanted/needed it, It went out of stock or my size unavailable, Wishlist got too cluttered, so I cleaned it up","Unsure of Quality / Reviews, Unsure about Fit & Size, Unsure about Color / Styling, Price hasn't dropped, I forget the item is even in my wishlist, Item went out of stock / my size is unavailable, I lost interest / no longer need it","Price Drop, Upcoming Event, Positive Reviews","No, I don't think I get any","Better Sizing Guide, Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, Alerts when price drops, Alerts when my size is back in stock, Seeing how others styled/reviewed the item",
R30,8/26/2026 9:35:09,Female,26-39,Kolkata,Flipkart,Monthly,"Yes, regularly",30+,Saving for Future Occasion,Mostly,50%,"Often, I browse it regularly","Wishlist got too cluttered, so I cleaned it up",Unsure of Quality / Reviews,Upcoming Event,"Yes, I find them useful",Alerts when an item is about to sell out / low stock,
R31,8/27/2026 12:30:08,Female,18-25,Bengaluru,Myntra,Few times a year,"Yes, regularly",30+,"Waiting for Price Drop, Saving for Future Occasion, Waiting to Restock",Mostly,10%,"Rarely, I mostly forget it exists","Found it cheaper elsewhere, No longer wanted/needed it, It went out of stock or my size unavailable","Unsure about Fit & Size, Price hasn't dropped, Item went out of stock / my size is unavailable, I lost interest / no longer need it","Price Drop, Upcoming Event, Positive Reviews","No, I don't think I get any","Better Product Pictures, Alerts when price drops, Alerts when my size is back in stock",
R32,8/28/2026 6:34:51,Female,26-39,Hyderabad,Myntra,Monthly,"Yes, regularly",30+,"Comparing with Other Options, Unsure about Fit & Size, Waiting to Restock, Confused how to Style it",Always,25%,"Often, I browse it regularly","No longer wanted/needed it, It went out of stock or my size unavailable, Wishlist got too cluttered, so I cleaned it up","Unsure of Quality / Reviews, Unsure about Fit & Size, Unsure about Color / Styling, I forget the item is even in my wishlist, Too many items in my wishlist — I don't know where to start","Upcoming Event, Got reminded / Notified, Positive Reviews","Yes, I find them useful","Better Sizing Guide, Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, A smarter, decluttered wishlist (auto-sort by likelihood to buy, or by occasion), Reminders after a certain time (this has been sitting for 30 days), Seeing how others styled/reviewed the item",
R33,8/26/2026 2:07:12,Female,18-25,Kolkata,Myntra,Few times a year,"Yes, regularly",16-30,"Waiting for Price Drop, Saving for Future Occasion",Sometimes,50%,Only when I get a notification,"Found it cheaper elsewhere, No longer wanted/needed it, Wishlist got too cluttered, so I cleaned it up, Price never dropped, gave up waiting","Unsure of Quality / Reviews, Unsure about Fit & Size, Unsure about Color / Styling, Price hasn't dropped, I lost interest / no longer need it","Price Drop, Influencer recommendation, Positive Reviews","Yes, I find them useful","Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, Alerts when price drops",
R34,8/26/2026 10:42:11,Female,18-25,Kolkata,Myntra,Weekly,"Yes, sometimes",30+,"Waiting for Price Drop, Unsure about Fit & Size",Always,75%,Only when I get a notification,No longer wanted/needed it,Unsure of Quality / Reviews,Upcoming Event,"Yes, but I usually ignore them",Alerts when price drops,
R35,8/27/2026 23:29:49,Female,18-25,Kolkata,Myntra,Monthly,"Yes, regularly",6-15,Waiting for Price Drop,Mostly,75%,"Rarely, I mostly forget it exists",No longer wanted/needed it,Price hasn't dropped,"Price Drop, Influencer recommendation","Yes, I find them useful","Better Product Pictures, Alerts when price drops",
R36,8/27/2026 13:01:23,Female,18-25,Kolkata,Myntra,Monthly,"Yes, regularly",1-5,"Waiting for Price Drop, Waiting to Restock",Always,50%,"Often, I browse it regularly",I never removed items from my wishlist,"Unsure about Fit & Size, Too many items in my wishlist — I don't know where to start",Upcoming Event,"Yes, I find them useful","Better Sizing Guide, Better Product Pictures, Alerts when my size is back in stock","I would love to see more size availability and better stock updates. Overall, I enjoy online shopping when the products are easy to browse and the sizing information is clear."
R37,8/26/2026 13:54:57,Female,18-25,Kolkata,Myntra,Rarely,"Yes, sometimes",30+,"Comparing with Other Options, Confused how to Style it",Sometimes,10%,"Rarely, I mostly forget it exists",No longer wanted/needed it,I lost interest / no longer need it,Upcoming Event,"No, I don't think I get any",Better Product Pictures,
R38,8/29/2026 17:22:56,Male,18-25,Kolkata,Myntra,Few times a year,"Yes, sometimes",1-5,Comparing with Other Options,Mostly,75%,Only when I get a notification,It went out of stock or my size unavailable,Unsure about Fit & Size,Upcoming Event,"Yes, I find them useful",Better Product Pictures,
R39,8/29/2026 20:47:52,Male,18-25,Kolkata,Fulltimestore.in,Few times a year,"Yes, sometimes",1-5,"Comparing with Other Options, Waiting for Price Drop, Waiting to Restock",Mostly,50%,"Rarely, I mostly forget it exists",No longer wanted/needed it,I lost interest / no longer need it,Upcoming Event,"Yes, but I usually ignore them","Alerts when price drops, Alerts when my size is back in stock",
R40,8/27/2026 0:45:03,Male,18-25,Kolkata,Myntra,Few times a year,"Yes, regularly",1-5,Saving for Future Occasion,Mostly,50%,I only see it when adding something new,No longer wanted/needed it,I lost interest / no longer need it,Positive Reviews,"Yes, I find them useful",Better Product Pictures,
R41,8/27/2026 13:34:05,Male,18-25,Nagpur,Amazon,Rarely,"Yes, sometimes",1-5,"Comparing with Other Options, Saving for Future Occasion",Sometimes,25%,"Rarely, I mostly forget it exists","No longer wanted/needed it, Wishlist got too cluttered, so I cleaned it up",I lost interest / no longer need it,Positive Reviews,"No, I don't think I get any","Better Product Pictures, Seeing how others styled/reviewed the item",
R42,8/27/2026 13:08:44,Female,18-25,Ghaziabad,Myntra,Few times a year,"Yes, sometimes",6-15,"Waiting for Price Drop, Unsure about Fit & Size, Saving for Future Occasion, Waiting to Restock",Mostly,50%,"Often, I browse it regularly","It went out of stock or my size unavailable, Price never dropped, gave up waiting","Unsure of Quality / Reviews, Unsure about Fit & Size, Item went out of stock / my size is unavailable","Price Drop, Upcoming Event, Positive Reviews","Yes, I find them useful","Better Sizing Guide, Alerts when price drops, Alerts when my size is back in stock",
R43,8/29/2026 20:10:22,Female,18-25,Noida,Myntra,Few times a year,"Yes, sometimes",1-5,"Comparing with Other Options, Waiting for Price Drop, Saving for Future Occasion, Waiting to Restock",Sometimes,25%,"Rarely, I mostly forget it exists","Wishlist got too cluttered, so I cleaned it up","Unsure of Quality / Reviews, I forget the item is even in my wishlist","Upcoming Event, Positive Reviews","Yes, but I usually ignore them","Reminders after a certain time (this has been sitting for 30 days), Alerts when an item is about to sell out / low stock, Alerts when my size is back in stock",
R44,8/28/2026 0:14:48,Female,18-25,Kolkata,Myntra,Few times a year,"Yes, sometimes",1-5,"Comparing with Other Options, Waiting for Price Drop, Saving for Future Occasion",Mostly,50%,"Rarely, I mostly forget it exists","Found it cheaper elsewhere, No longer wanted/needed it, It went out of stock or my size unavailable","Unsure of Quality / Reviews, Unsure about Fit & Size, Item went out of stock / my size is unavailable","Price Drop, Upcoming Event","Yes, but I usually ignore them","Better Sizing Guide, Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, A smarter, decluttered wishlist (auto-sort by likelihood to buy, or by occasion), Reminders after a certain time (this has been sitting for 30 days), Alerts when my size is back in stock",
R45,8/29/2026 17:21:48,Female,40 & above,Kolkata,Myntra,Monthly,"Yes, regularly",1-5,Saving for Future Occasion,Sometimes,10%,"Often, I browse it regularly","No longer wanted/needed it, Wishlist got too cluttered, so I cleaned it up","Unsure of Quality / Reviews, I forget the item is even in my wishlist, Too many items in my wishlist — I don't know where to start","Price Drop, Positive Reviews","Yes, but I usually ignore them",Better Product Pictures,Please Do not upload AI images.
R46,8/27/2026 12:50:47,Female,18-25,Kolkata,Myntra,Few times a year,"Yes, regularly",6-15,"Comparing with Other Options, Waiting for Price Drop, Saving for Future Occasion",Sometimes,50%,"Rarely, I mostly forget it exists","Found it cheaper elsewhere, No longer wanted/needed it","Price hasn't dropped, I forget the item is even in my wishlist, Item went out of stock / my size is unavailable, I lost interest / no longer need it, Too many items in my wishlist — I don't know where to start","Price Drop, Upcoming Event","Yes, but I usually ignore them","Easier way to compare 2–3 wishlisted items side-by-side, A smarter, decluttered wishlist (auto-sort by likelihood to buy, or by occasion), Alerts when price drops, Alerts when an item is about to sell out / low stock",
R47,8/30/2026 0:13:56,Female,26-39,Bengaluru,Myntra,Monthly,"Yes, regularly",30+,"Waiting for Price Drop, Saving for Future Occasion",Sometimes,25%,Only when I get a notification,"It went out of stock or my size unavailable, Price never dropped, gave up waiting","Item went out of stock / my size is unavailable, I lost interest / no longer need it","Price Drop, Got reminded / Notified","No, I don't think I get any","Alerts when price drops, Alerts when an item is about to sell out / low stock",
R48,8/30/2026 3:07:30,Male,26-39,Kolkata,Myntra,Monthly,"Yes, regularly",6-15,"Unsure about Fit & Size, Saving for Future Occasion, Waiting to Restock",Sometimes,25%,"Rarely, I mostly forget it exists","No longer wanted/needed it, It went out of stock or my size unavailable, I never removed items from my wishlist","Unsure of Quality / Reviews, Unsure about Fit & Size, I forget the item is even in my wishlist, Item went out of stock / my size is unavailable, I lost interest / no longer need it","Upcoming Event, Positive Reviews","Yes, but I usually ignore them","Better Sizing Guide, Better Product Pictures, Reminders after a certain time (this has been sitting for 30 days)",
R49,8/30/2026 13:19:08,Female,18-25,Kolkata,Myntra,Monthly,"Yes, regularly",30+,Waiting for Price Drop,Sometimes,25%,"Often, I browse it regularly","Found it cheaper elsewhere, It went out of stock or my size unavailable, Price never dropped, gave up waiting","Price hasn't dropped, I forget the item is even in my wishlist, Item went out of stock / my size is unavailable, I lost interest / no longer need it, Too many items in my wishlist — I don't know where to start","Price Drop, Positive Reviews","Yes, but I usually ignore them","Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, Alerts when price drops, Alerts when an item is about to sell out / low stock, Alerts when my size is back in stock",
R50,8/30/2026 16:11:02,Male,18-25,Bengaluru,Myntra,Few times a year,"Yes, regularly",30+,"Comparing with Other Options, Saving for Future Occasion",Always,10%,"Rarely, I mostly forget it exists",No longer wanted/needed it,"Unsure of Quality / Reviews, Unsure about Fit & Size, Unsure about Color / Styling","Upcoming Event, Got reminded / Notified, Positive Reviews","No, I don't think I get any","Better Sizing Guide, Easier way to compare 2–3 wishlisted items side-by-side, A smarter, decluttered wishlist (auto-sort by likelihood to buy, or by occasion), Reminders after a certain time (this has been sitting for 30 days)",It would be great if they gave reminders to purchase before an occasion
